Sex = Female,Sex = Male,Age_Cat = Less than 25,Age_Cat = 25 - 45,Age_Cat = Greater than 45,Race = African-American,Race = Asian,Race = Caucasian,Race = Hispanic,Race = Native American,Race = Other,C_Charge_Degree = F,C_Charge_Degree = M,Priors_Count,Time_Served,Status
0,1,0,0,1,1,0,0,0,0,0,0,1,4,0,1
0,1,0,0,1,0,0,1,0,0,0,1,0,8,13,1
0,1,0,1,0,1,0,0,0,0,0,1,0,5,0,1
0,1,0,1,0,1,0,0,0,0,0,1,0,15,1,0
0,1,0,1,0,0,0,1,0,0,0,0,1,4,1,0
0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0
0,1,0,1,0,1,0,0,0,0,0,1,0,4,18,0
0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
0,1,0,1,0,1,0,0,0,0,0,1,0,6,30,0
0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,1,1,0,0,0,0,0,0,1,0,3,1
0,1,0,0,1,0,0,0,1,0,0,1,0,6,241,0
0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1
0,1,0,1,0,1,0,0,0,0,0,0,1,1,4,1
0,1,0,1,0,1,0,0,0,0,0,1,0,5,1,0
0,1,0,1,0,0,0,1,0,0,0,1,0,1,14,0
0,1,0,1,0,1,0,0,0,0,0,1,0,2,3,1
0,1,1,0,0,1,0,0,0,0,0,0,1,1,16,0
0,1,1,0,0,0,0,1,0,0,0,1,0,0,57,1
1,0,0,1,0,1,0,0,0,0,0,1,0,1,2,0
0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1
0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0,1,0,1,0,1,0,0,0,0,0,0,1,8,1,0
0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
0,1,0,1,0,1,0,0,0,0,0,1,0,14,7,0
0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0
0,1,1,0,0,1,0,0,0,0,0,1,0,2,30,0
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1
0,1,0,1,0,1,0,0,0,0,0,1,0,9,3,0
0,1,0,1,0,0,0,1,0,0,0,1,0,7,0,0
0,1,1,0,0,0,0,0,0,0,1,1,0,1,3,0
0,1,0,1,0,0,0,1,0,0,0,1,0,9,0,0
1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1
0,1,1,0,0,1,0,0,0,0,0,0,1,1,9,0
0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,1,1,0,0,0,0,1,0,0,0,1,0,8,12,0
0,1,0,1,0,0,0,1,0,0,0,1,0,0,5,1
0,1,0,1,0,0,0,1,0,0,0,0,1,0,38,1
1,0,0,1,0,0,0,1,0,0,0,1,0,1,106,1
0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1
0,1,1,0,0,1,0,0,0,0,0,1,0,3,6,0
0,1,0,1,0,0,0,1,0,0,0,0,1,5,2,0
0,1,0,1,0,0,0,1,0,0,0,1,0,0,14,1
0,1,0,1,0,1,0,0,0,0,0,1,0,5,0,0
0,1,0,1,0,1,0,0,0,0,0,1,0,3,1,1
0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
0,1,0,1,0,1,0,0,0,0,0,1,0,10,176,0
0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0,1,0,1,0,0,0,0,0,1,0,28,1,0
0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1
1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1
0,1,0,1,0,0,0,1,0,0,0,1,0,13,471,0
0,1,0,1,0,1,0,0,0,0,0,1,0,3,0,0
0,1,0,0,1,0,0,1,0,0,0,0,1,3,0,1
0,1,0,1,0,1,0,0,0,0,0,1,0,19,0,0
0,1,0,1,0,0,0,1,0,0,0,1,0,6,0,1
1,0,0,1,0,0,0,1,0,0,0,1,0,2,3,1
0,1,0,1,0,0,0,1,0,0,0,0,1,1,3,1
1,0,0,1,0,0,0,0,0,0,1,0,1,2,1,1
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1,0,1,0,0,1,0,0,0,0,0,0,1,0,2,1
1,0,0,1,0,0,0,1,0,0,0,1,0,10,7,0
0,1,0,1,0,0,0,1,0,0,0,0,1,2,0,0
0,1,0,1,0,1,0,0,0,0,0,1,0,3,8,0
0,1,0,1,0,0,0,1,0,0,0,0,1,2,15,0
0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
1,0,1,0,0,1,0,0,0,0,0,1,0,1,2,1
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,0,1,0,0,0,0,0,1,0,9,13,0
0,1,0,1,0,1,0,0,0,0,0,1,0,11,1,0
0,1,0,1,0,1,0,0,0,0,0,0,1,8,0,0
1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
1,0,0,1,0,1,0,0,0,0,0,1,0,7,26,0
0,1,0,1,0,1,0,0,0,0,0,1,0,2,1,0
1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
0,1,0,0,1,0,0,0,0,0,1,1,0,13,1,0
0,1,0,0,1,0,0,0,1,0,0,1,0,1,14,1
1,0,0,1,0,1,0,0,0,0,0,1,0,4,6,0
0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1
1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0
0,1,0,1,0,0,0,1,0,0,0,0,1,1,3,1
1,0,0,1,0,0,0,1,0,0,0,1,0,3,530,0
0,1,0,1,0,1,0,0,0,0,0,1,0,1,70,1
0,1,0,0,1,0,0,1,0,0,0,0,1,2,0,1
0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1
0,1,0,0,1,0,0,1,0,0,0,1,0,6,22,0
0,1,0,1,0,0,0,1,0,0,0,1,0,0,2,1
0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0
0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1
1,0,0,1,0,1,0,0,0,0,0,1,0,5,1,1
0,1,0,0,1,0,0,0,1,0,0,0,1,2,3,1
0,1,0,0,1,1,0,0,0,0,0,1,0,8,15,1
0,1,0,1,0,0,0,0,1,0,0,1,0,8,117,0
0,1,0,1,0,1,0,0,0,0,0,0,1,6,0,0
0,1,0,0,1,0,0,0,1,0,0,1,0,2,188,1
0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1
0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0
0,1,0,0,1,1,0,0,0,0,0,0,1,23,0,0
0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
0,1,0,0,1,0,0,0,1,0,0,1,0,1,19,1
0,1,0,0,1,1,0,0,0,0,0,1,0,3,2,1
0,1,0,0,1,0,0,1,0,0,0,0,1,8,71,0
0,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0
0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,1,0,1,0,0,0,0,0,1,0,9,79,0
0,1,0,0,1,0,0,1,0,0,0,1,0,2,358,1
0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0,1,0,1,0,0,0,0,0,0,1,2,25,1
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1
0,1,0,1,0,0,0,0,0,0,1,0,1,2,2,0
0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,0,0,0,1,0,0,0,0,1,4,1,1
1,0,0,1,0,1,0,0,0,0,0,1,0,23,2,0
0,1,1,0,0,0,0,0,0,0,1,1,0,5,0,0
0,1,0,1,0,1,0,0,0,0,0,1,0,2,1,0
0,1,0,1,0,1,0,0,0,0,0,0,1,0,2,1
1,0,0,1,0,1,0,0,0,0,0,1,0,0,29,1
1,0,0,1,0,0,0,1,0,0,0,1,0,7,1,0
0,1,0,1,0,1,0,0,0,0,0,1,0,2,1,1
1,0,0,1,0,1,0,0,0,0,0,1,0,1,38,1
0,1,0,0,1,0,0,1,0,0,0,1,0,7,0,0
0,1,0,1,0,1,0,0,0,0,0,1,0,15,1,1
0,1,0,1,0,1,0,0,0,0,0,0,1,2,0,1
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0
0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1
0,1,0,1,0,0,0,1,0,0,0,1,0,4,1,0
1,0,0,1,0,1,0,0,0,0,0,1,0,2,2,1
1,0,0,1,0,1,0,0,0,0,0,0,1,5,0,1
0,1,0,1,0,1,0,0,0,0,0,1,0,11,223,0
0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1
0,1,0,1,0,0,0,0,0,0,1,1,0,4,2,0
0,1,0,0,1,1,0,0,0,0,0,1,0,11,129,1
0,1,1,0,0,1,0,0,0,0,0,1,0,2,71,1
0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,0,1,0,13,51,0
0,1,0,0,1,1,0,0,0,0,0,1,0,0,13,1
0,1,0,1,0,0,0,1,0,0,0,1,0,1,3,1
0,1,0,1,0,1,0,0,0,0,0,0,1,11,1,0
0,1,0,1,0,0,0,1,0,0,0,1,0,1,6,1
0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1,0,1,0,1,0,0,0,0,0,1,0,4,0,1
0,1,0,1,0,0,0,0,1,0,0,1,0,4,1,1
0,1,0,1,0,0,0,1,0,0,0,1,0,0,30,0
0,1,0,1,0,0,0,1,0,0,0,1,0,0,35,0
0,1,0,1,0,1,0,0,0,0,0,1,0,14,1,1
0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1
0,1,0,1,0,1,0,0,0,0,0,1,0,25,25,0
0,1,0,1,0,0,0,1,0,0,0,0,1,8,4,0
0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
0,1,1,0,0,0,0,1,0,0,0,0,1,1,5,0
1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1
1,0,0,1,0,0,0,0,0,0,1,1,0,3,1,1
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0
1,0,1,0,0,0,0,1,0,0,0,1,0,5,0,0
0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1
0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0
0,1,0,1,0,1,0,0,0,0,0,1,0,2,1,0
0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
0,1,0,1,0,1,0,0,0,0,0,1,0,4,0,1
1,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1
0,1,1,0,0,1,0,0,0,0,0,1,0,0,2,1
0,1,1,0,0,0,0,0,1,0,0,1,0,0,2,1
1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0
1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,1,0,1,0,1,0,0,0,0,0,1,0,11,1,0
0,1,1,0,0,1,0,0,0,0,0,0,1,3,1,0
1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,1
1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
0,1,0,0,1,1,0,0,0,0,0,1,0,3,24,0
0,1,0,1,0,1,0,0,0,0,0,1,0,0,41,1
0,1,0,1,0,0,0,1,0,0,0,1,0,3,2,1
0,1,0,0,1,0,0,1,0,0,0,0,1,1,12,1
0,1,0,0,1,0,0,1,0,0,0,1,0,3,14,1
0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0
0,1,0,1,0,0,0,0,1,0,0,1,0,3,1,0
0,1,0,1,0,0,0,1,0,0,0,0,1,5,1,1
0,1,0,1,0,1,0,0,0,0,0,0,1,5,0,1
0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,1,0,1,0,0,0,0,0,1,0,5,2,0
0,1,0,1,0,1,0,0,0,0,0,1,0,6,2,0
0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1
0,1,0,0,1,0,0,1,0,0,0,1,0,2,1,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
0,1,1,0,0,1,0,0,0,0,0,0,1,4,11,0
0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
0,1,0,1,0,0,0,1,0,0,0,1,0,5,10,1
0,1,0,1,0,0,0,0,0,0,1,1,0,2,7,0
1,0,0,1,0,1,0,0,0,0,0,1,0,5,0,1
0,1,1,0,0,0,0,0,1,0,0,1,0,0,45,1
0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0,0,0,0,1,3,0,0
1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
0,1,1,0,0,0,0,0,0,0,1,1,0,9,4,0
0,1,0,1,0,1,0,0,0,0,0,1,0,0,17,1
0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1
0,1,0,1,0,1,0,0,0,0,0,1,0,7,1,1
0,1,1,0,0,1,0,0,0,0,0,1,0,0,209,0
0,1,0,1,0,0,0,1,0,0,0,1,0,8,68,1
0,1,1,0,0,1,0,0,0,0,0,1,0,2,19,0
0,1,0,0,1,0,0,1,0,0,0,1,0,36,32,0
0,1,0,1,0,0,0,1,0,0,0,0,1,2,1,0
0,1,1,0,0,0,0,0,1,0,0,1,0,3,22,1
1,0,0,1,0,1,0,0,0,0,0,1,0,0,12,1
1,0,0,1,0,0,0,1,0,0,0,0,1,2,1,0
1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1
0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1
1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1
1,0,0,1,0,0,0,1,0,0,0,0,1,0,3,1
0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1
0,1,0,1,0,1,0,0,0,0,0,1,0,12,1,0
0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1
0,1,0,0,1,1,0,0,0,0,0,1,0,3,0,1
0,1,0,1,0,0,0,1,0,0,0,1,0,0,19,1
0,1,1,0,0,1,0,0,0,0,0,1,0,2,1,0
0,1,0,1,0,0,0,0,1,0,0,0,1,0,2,1
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,1,1,0,0,0,0,1,0,0,0,1,0,2,2,1
0,1,0,1,0,1,0,0,0,0,0,0,1,6,3,0
0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,1,0,3,3,1
0,1,0,1,0,1,0,0,0,0,0,0,1,2,50,1
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,1,1,0,0,1,0,0,0,0,0,1,0,3,0,0
1,0,1,0,0,0,0,0,0,0,1,1,0,1,2,1
0,1,0,1,0,0,0,0,1,0,0,1,0,1,95,1
0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1
0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1
0,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0
0,1,1,0,0,1,0,0,0,0,0,1,0,4,219,0
0,1,1,0,0,1,0,0,0,0,0,1,0,0,12,0
0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1
1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
0,1,0,1,0,0,0,1,0,0,0,1,0,0,8,0
0,1,0,1,0,1,0,0,0,0,0,1,0,7,127,0
1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1
1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
0,1,0,1,0,1,0,0,0,0,0,1,0,1,4,1
0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0,1,0,1,0,1,0,0,0,0,0,1,0,6,1,0
0,1,1,0,0,1,0,0,0,0,0,1,0,4,260,0
0,1,1,0,0,0,0,1,0,0,0,0,1,3,5,1
0,1,0,1,0,1,0,0,0,0,0,1,0,23,17,0
0,1,0,1,0,1,0,0,0,0,0,1,0,2,5,1
0,1,0,0,1,1,0,0,0,0,0,1,0,2,0,1
0,1,0,1,0,1,0,0,0,0,0,1,0,7,1,1
0,1,0,0,1,0,0,1,0,0,0,1,0,23,360,0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,0,1,0,0,0,0,0,1,0,12,31,0
0,1,0,1,0,1,0,0,0,0,0,1,0,5,51,1
0,1,0,1,0,0,0,1,0,0,0,0,1,3,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,1
0,1,0,1,0,1,0,0,0,0,0,1,0,14,0,0
0,1,0,1,0,1,0,0,0,0,0,1,0,2,1,1
0,1,1,0,0,1,0,0,0,0,0,0,1,0,21,0
0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,1,0,0,1,1,0,0,0,0,0,1,0,5,12,1
0,1,0,1,0,1,0,0,0,0,0,1,0,9,52,0
0,1,0,0,1,0,0,1,0,0,0,1,0,4,7,0
0,1,0,1,0,1,0,0,0,0,0,1,0,3,1,1
0,1,0,0,1,0,0,0,0,0,1,1,0,4,1,1
0,1,1,0,0,0,0,0,1,0,0,0,1,1,5,1
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1,0,0,1,1,0,0,0,0,0,1,0,11,110,1
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1
1,0,0,0,1,0,0,1,0,0,0,0,1,2,1,1
0,1,0,1,0,1,0,0,0,0,0,0,1,7,1,0
0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0
0,1,0,1,0,1,0,0,0,0,0,1,0,8,3,0
0,1,0,1,0,0,0,0,0,0,1,1,0,1,2,1
0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0,1,0,0,0,1,0,0,0,0,1,0,5,0
0,1,0,0,1,1,0,0,0,0,0,0,1,21,59,0
0,1,1,0,0,1,0,0,0,0,0,1,0,3,106,1
0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,1,0,0,1,1,0,0,0,0,0,1,0,1,25,0
0,1,0,1,0,0,0,1,0,0,0,0,1,3,0,1
0,1,0,1,0,1,0,0,0,0,0,1,0,3,33,1
0,1,1,0,0,0,0,1,0,0,0,1,0,3,0,0
0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1
0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,1
1,0,1,0,0,1,0,0,0,0,0,1,0,3,1,0
0,1,1,0,0,0,0,1,0,0,0,1,0,1,32,0
0,1,0,1,0,0,0,1,0,0,0,0,1,2,0,1
1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,0,0,0,0,1,0,0,1,0,2,0,0
0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0
0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0
0,1,0,0,1,0,0,1,0,0,0,1,0,4,1,1
1,0,0,0,1,1,0,0,0,0,0,1,0,3,0,1
0,1,0,1,0,1,0,0,0,0,0,0,1,1,4,1
0,1,0,1,0,1,0,0,0,0,0,1,0,5,1,1
0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,0,1,1,0,0,0,0,0,1,0,2,9,0
0,1,0,1,0,0,0,1,0,0,0,0,1,0,3,0
0,1,1,0,0,0,0,0,0,0,1,1,0,0,22,0
0,1,0,1,0,1,0,0,0,0,0,0,1,13,1,0
0,1,0,1,0,1,0,0,0,0,0,0,1,1,13,0
0,1,0,1,0,1,0,0,0,0,0,1,0,3,1,0
0,1,0,0,1,0,0,1,0,0,0,1,0,6,1,0
0,1,0,1,0,0,0,1,0,0,0,1,0,1,4,0
0,1,0,0,1,1,0,0,0,0,0,1,0,5,118,0
0,1,0,1,0,1,0,0,0,0,0,1,0,10,0,0
0,1,0,1,0,1,0,0,0,0,0,1,0,5,1,1
0,1,0,0,1,0,0,1,0,0,0,1,0,2,3,1
0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1
0,1,1,0,0,1,0,0,0,0,0,1,0,6,0,1
0,1,0,0,1,1,0,0,0,0,0,1,0,28,5,0
0,1,0,1,0,1,0,0,0,0,0,1,0,8,10,0
1,0,1,0,0,1,0,0,0,0,0,1,0,6,26,0
0,1,0,0,1,1,0,0,0,0,0,0,1,2,0,1
0,1,0,0,1,1,0,0,0,0,0,0,1,12,3,0
0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1
0,1,1,0,0,1,0,0,0,0,0,1,0,1,2,0
0,1,0,0,1,0,0,1,0,0,0,1,0,0,35,1
0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1
0,1,0,1,0,0,0,1,0,0,0,1,0,3,6,1
0,1,0,0,1,0,0,1,0,0,0,1,0,3,0,1
0,1,0,1,0,0,0,1,0,0,0,1,0,4,1,0
0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
0,1,0,1,0,0,0,0,1,0,0,1,0,4,31,0
0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
0,1,0,1,0,0,1,0,0,0,0,1,0,0,101,1
0,1,0,0,1,0,0,0,1,0,0,1,0,1,10,1
0,1,0,1,0,0,0,0,1,0,0,0,1,2,0,1
1,0,1,0,0,0,0,1,0,0,0,1,0,6,3,0
0,1,1,0,0,0,0,1,0,0,0,0,1,2,8,0
0,1,0,0,1,0,1,0,0,0,0,1,0,5,11,0
0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1
1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1
0,1,0,1,0,1,0,0,0,0,0,1,0,4,8,0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1
0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0
0,1,0,1,0,0,0,0,1,0,0,1,0,7,1,0
0,1,0,0,1,0,0,0,1,0,0,1,0,20,27,1
0,1,0,0,1,1,0,0,0,0,0,1,0,33,13,0
0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,1
0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1
0,1,0,1,0,0,0,1,0,0,0,1,0,1,74,1
